SOUND SPEED TABLE
M         M/S
      0.00   1533.96
     10.00   1534.12
     20.00   1534.29
     30.00   1534.46
     50.00   1534.79
     75.00   1534.88
    100.00   1533.99
    125.00   1531.35
    150.00   1526.56
    200.00   1513.27
    250.00   1502.81
    300.00   1497.36
    400.00   1488.74
    500.00   1484.84
    600.00   1484.28
    700.00   1484.40
    800.00   1484.50
    900.00   1484.39
   1000.00   1484.13
   1100.00   1483.99
   1200.00   1484.09
   1300.00   1484.57
   1400.00   1485.46
   1500.00   1486.57
   1750.00   1489.44
   2000.00   1492.55
   2500.00   1499.70
   3000.00   1507.51
   4000.00   1524.50
   5000.00   1542.52
   5567.00   1553.34
EOT
