SOUND SPEED TABLE
M         M/S
      0.00   1534.04
     10.00   1534.21
     20.00   1534.37
     30.00   1534.55
     50.00   1534.82
     75.00   1534.78
    100.00   1533.62
    125.00   1530.49
    150.00   1525.13
    200.00   1511.33
    250.00   1501.03
    300.00   1496.02
    400.00   1488.59
    500.00   1485.11
    600.00   1484.63
    700.00   1484.85
    800.00   1484.93
    900.00   1484.76
   1000.00   1484.42
   1100.00   1484.20
   1200.00   1484.26
   1300.00   1484.74
   1400.00   1485.63
   1500.00   1486.70
   1750.00   1489.54
   2000.00   1492.62
   2500.00   1499.70
   3000.00   1507.51
   4000.00   1524.41
   5000.00   1542.48
   5630.00   1554.46
EOT
