SOUND SPEED TABLE
M         M/S
      0.00   1533.99
     10.00   1534.16
     20.00   1534.32
     30.00   1534.49
     50.00   1534.81
     75.00   1534.95
    100.00   1534.04
    125.00   1531.16
    150.00   1525.75
    200.00   1511.28
    250.00   1501.16
    300.00   1496.75
    400.00   1488.60
    500.00   1485.17
    600.00   1484.83
    700.00   1485.05
    800.00   1485.14
    900.00   1484.92
   1000.00   1484.51
   1100.00   1484.20
   1200.00   1484.22
   1300.00   1484.61
   1400.00   1485.55
   1500.00   1486.70
   1750.00   1489.57
   2000.00   1492.68
   2500.00   1499.70
   3000.00   1507.60
   4000.00   1524.41
   5000.00   1542.48
   5598.00   1553.87
EOT
