SOUND SPEED TABLE
M         M/S
      0.00   1534.63
     10.00   1534.79
     20.00   1534.96
     30.00   1535.14
     50.00   1535.53
     75.00   1535.89
    100.00   1535.63
    125.00   1534.16
    150.00   1530.71
    200.00   1518.06
    250.00   1505.52
    300.00   1498.53
    400.00   1488.44
    500.00   1484.93
    600.00   1484.52
    700.00   1484.14
    800.00   1484.12
    900.00   1484.18
   1000.00   1484.26
   1100.00   1484.41
   1200.00   1484.74
   1300.00   1485.31
   1400.00   1486.07
   1500.00   1487.01
   1750.00   1489.50
   2000.00   1492.37
   2500.00   1499.48
   3000.00   1507.51
   4000.00   1524.41
   5000.00   1542.39
   5506.00   1552.04
EOT
