SOUND SPEED TABLE
M         M/S
      0.00   1534.64
     10.00   1534.79
     20.00   1534.96
     30.00   1535.15
     50.00   1535.50
     75.00   1535.65
    100.00   1534.88
    125.00   1532.52
    150.00   1527.94
    200.00   1514.21
    250.00   1502.30
    300.00   1496.23
    400.00   1488.02
    500.00   1484.97
    600.00   1484.77
    700.00   1484.37
    800.00   1484.34
    900.00   1484.35
   1000.00   1484.34
   1100.00   1484.49
   1200.00   1484.81
   1300.00   1485.34
   1400.00   1486.12
   1500.00   1487.01
   1750.00   1489.50
   2000.00   1492.40
   2500.00   1499.48
   3000.00   1507.51
   4000.00   1524.41
   5000.00   1542.39
   5530.00   1552.49
EOT
