SOUND SPEED TABLE
M         M/S
      0.00   1534.41
     10.00   1534.58
     20.00   1534.74
     30.00   1534.93
     50.00   1535.26
     75.00   1535.38
    100.00   1534.51
    125.00   1531.94
    150.00   1527.16
    200.00   1513.39
    250.00   1501.77
    300.00   1495.84
    400.00   1488.49
    500.00   1485.20
    600.00   1484.65
    700.00   1484.33
    800.00   1484.32
    900.00   1484.31
   1000.00   1484.30
   1100.00   1484.39
   1200.00   1484.68
   1300.00   1485.21
   1400.00   1485.99
   1500.00   1486.92
   1750.00   1489.45
   2000.00   1492.44
   2500.00   1499.52
   3000.00   1507.51
   4000.00   1524.41
   5000.00   1542.39
   5530.00   1552.49
EOT
