SOUND SPEED TABLE
M         M/S
      0.00   1534.13
     10.00   1534.29
     20.00   1534.45
     30.00   1534.59
     50.00   1534.92
     75.00   1534.90
    100.00   1533.76
    125.00   1530.75
    150.00   1525.65
    200.00   1512.05
    250.00   1501.13
    300.00   1496.10
    400.00   1488.75
    500.00   1485.18
    600.00   1484.59
    700.00   1484.53
    800.00   1484.61
    900.00   1484.55
   1000.00   1484.27
   1100.00   1484.22
   1200.00   1484.39
   1300.00   1484.87
   1400.00   1485.72
   1500.00   1486.74
   1750.00   1489.50
   2000.00   1492.53
   2500.00   1499.61
   3000.00   1507.51
   4000.00   1524.41
   5000.00   1542.48
   5630.00   1554.46
EOT
