SOUND SPEED TABLE
M         M/S
      0.00   1534.23
     10.00   1534.39
     20.00   1534.54
     30.00   1534.73
     50.00   1535.07
     75.00   1535.21
    100.00   1534.51
    125.00   1532.14
    150.00   1527.67
    200.00   1514.45
    250.00   1502.98
    300.00   1496.94
    400.00   1488.94
    500.00   1485.01
    600.00   1484.28
    700.00   1484.11
    800.00   1484.10
    900.00   1484.10
   1000.00   1484.09
   1100.00   1484.15
   1200.00   1484.39
   1300.00   1484.95
   1400.00   1485.73
   1500.00   1486.75
   1750.00   1489.37
   2000.00   1492.42
   2500.00   1499.57
   3000.00   1507.51
   4000.00   1524.41
   5000.00   1542.48
   5566.00   1553.24
EOT
