SOUND SPEED TABLE
M         M/S
      0.00   1534.38
     10.00   1534.55
     20.00   1534.71
     30.00   1534.90
     50.00   1535.30
     75.00   1535.52
    100.00   1535.02
    125.00   1533.04
    150.00   1528.99
    200.00   1515.77
    250.00   1503.65
    300.00   1497.37
    400.00   1488.60
    500.00   1484.92
    600.00   1484.36
    700.00   1484.06
    800.00   1484.05
    900.00   1484.10
   1000.00   1484.18
   1100.00   1484.28
   1200.00   1484.56
   1300.00   1485.04
   1400.00   1485.90
   1500.00   1486.84
   1750.00   1489.45
   2000.00   1492.37
   2500.00   1499.52
   3000.00   1507.51
   4000.00   1524.41
   5000.00   1542.48
   5540.00   1552.76
EOT
