SOUND SPEED TABLE
M         M/S
      0.00   1533.93
     10.00   1534.10
     20.00   1534.26
     30.00   1534.43
     50.00   1534.73
     75.00   1534.85
    100.00   1533.92
    125.00   1530.94
    150.00   1525.39
    200.00   1510.96
    250.00   1501.43
    300.00   1496.63
    400.00   1488.82
    500.00   1485.50
    600.00   1485.12
    700.00   1485.17
    800.00   1485.23
    900.00   1484.97
   1000.00   1484.51
   1100.00   1484.18
   1200.00   1484.18
   1300.00   1484.61
   1400.00   1485.55
   1500.00   1486.65
   1750.00   1489.53
   2000.00   1492.64
   2500.00   1499.70
   3000.00   1507.60
   4000.00   1524.41
   5000.00   1542.48
   5598.00   1553.91
EOT
