SOUND SPEED TABLE
M         M/S
      0.00   1533.73
     10.00   1533.90
     20.00   1534.07
     30.00   1534.23
     50.00   1534.51
     75.00   1534.58
    100.00   1533.65
    125.00   1530.90
    150.00   1525.81
    200.00   1512.15
    250.00   1502.24
    300.00   1497.50
    400.00   1490.59
    500.00   1487.06
    600.00   1485.50
    700.00   1485.08
    800.00   1484.92
    900.00   1484.59
   1000.00   1484.27
   1100.00   1484.13
   1200.00   1484.28
   1300.00   1484.84
   1400.00   1485.70
   1500.00   1486.73
   1750.00   1489.35
   2000.00   1492.44
   2500.00   1499.57
   3000.00   1507.51
   4000.00   1524.41
   5000.00   1542.48
   5689.00   1555.68
EOT
