SOUND SPEED TABLE
M         M/S
      0.00   1533.67
     10.00   1533.84
     20.00   1533.99
     30.00   1534.17
     50.00   1534.41
     75.00   1534.32
    100.00   1533.18
    125.00   1530.19
    150.00   1525.13
    200.00   1511.96
    250.00   1501.80
    300.00   1497.14
    400.00   1490.93
    500.00   1487.52
    600.00   1485.87
    700.00   1485.35
    800.00   1485.03
    900.00   1484.66
   1000.00   1484.40
   1100.00   1484.28
   1200.00   1484.48
   1300.00   1485.00
   1400.00   1485.88
   1500.00   1486.90
   1750.00   1489.50
   2000.00   1492.40
   2500.00   1499.52
   3000.00   1507.51
   4000.00   1524.41
   5000.00   1542.50
   5631.00   1554.58
EOT
