SOUND SPEED TABLE
M         M/S
      0.00   1533.29
     10.00   1533.46
     20.00   1533.62
     30.00   1533.79
     50.00   1534.03
     75.00   1533.92
    100.00   1532.52
    125.00   1529.11
    150.00   1523.55
    200.00   1510.24
    250.00   1500.72
    300.00   1496.78
    400.00   1491.52
    500.00   1488.49
    600.00   1486.85
    700.00   1486.15
    800.00   1485.63
    900.00   1485.11
   1000.00   1484.68
   1100.00   1484.68
   1200.00   1484.93
   1300.00   1485.54
   1400.00   1486.38
   1500.00   1487.38
   1750.00   1489.71
   2000.00   1492.50
   2500.00   1499.49
   3000.00   1507.51
   4000.00   1524.41
   5000.00   1542.50
   5820.00   1558.19
EOT
