SOUND SPEED TABLE
M         M/S
      0.00   1533.85
     10.00   1534.02
     20.00   1534.18
     30.00   1534.35
     50.00   1534.65
     75.00   1534.73
    100.00   1533.78
    125.00   1530.96
    150.00   1525.73
    200.00   1511.74
    250.00   1501.74
    300.00   1497.05
    400.00   1489.58
    500.00   1486.28
    600.00   1485.53
    700.00   1485.39
    800.00   1485.28
    900.00   1484.97
   1000.00   1484.55
   1100.00   1484.21
   1200.00   1484.29
   1300.00   1484.77
   1400.00   1485.58
   1500.00   1486.74
   1750.00   1489.53
   2000.00   1492.59
   2500.00   1499.70
   3000.00   1507.60
   4000.00   1524.41
   5000.00   1542.48
   5621.00   1554.34
EOT
