SOUND SPEED TABLE
M         M/S
      0.00   1533.89
     10.00   1534.06
     20.00   1534.22
     30.00   1534.39
     50.00   1534.69
     75.00   1534.69
    100.00   1533.69
    125.00   1531.01
    150.00   1526.28
    200.00   1513.42
    250.00   1502.84
    300.00   1497.15
    400.00   1488.72
    500.00   1484.93
    600.00   1484.46
    700.00   1484.52
    800.00   1484.69
    900.00   1484.52
   1000.00   1484.18
   1100.00   1483.94
   1200.00   1484.01
   1300.00   1484.48
   1400.00   1485.33
   1500.00   1486.48
   1750.00   1489.48
   2000.00   1492.64
   2500.00   1499.68
   3000.00   1507.60
   4000.00   1524.41
   5000.00   1542.48
   5612.00   1554.17
EOT
