SOUND SPEED TABLE
M         M/S
      0.00   1534.21
     10.00   1534.38
     20.00   1534.55
     30.00   1534.73
     50.00   1535.10
     75.00   1535.27
    100.00   1534.46
    125.00   1531.74
    150.00   1526.57
    200.00   1512.15
    250.00   1501.64
    300.00   1496.52
    400.00   1488.80
    500.00   1485.24
    600.00   1484.55
    700.00   1484.37
    800.00   1484.41
    900.00   1484.35
   1000.00   1484.30
   1100.00   1484.27
   1200.00   1484.47
   1300.00   1485.04
   1400.00   1485.76
   1500.00   1486.84
   1750.00   1489.45
   2000.00   1492.46
   2500.00   1499.57
   3000.00   1507.51
   4000.00   1524.41
   5000.00   1542.48
   5523.00   1552.40
EOT
