SOUND SPEED TABLE
M         M/S
      0.00   1533.78
     10.00   1533.95
     20.00   1534.11
     30.00   1534.28
     50.00   1534.56
     75.00   1534.56
    100.00   1533.55
    125.00   1530.64
    150.00   1525.45
    200.00   1511.77
    250.00   1501.75
    300.00   1497.06
    400.00   1490.11
    500.00   1486.68
    600.00   1485.49
    700.00   1485.24
    800.00   1485.08
    900.00   1484.77
   1000.00   1484.38
   1100.00   1484.17
   1200.00   1484.25
   1300.00   1484.77
   1400.00   1485.62
   1500.00   1486.70
   1750.00   1489.44
   2000.00   1492.46
   2500.00   1499.61
   3000.00   1507.51
   4000.00   1524.41
   5000.00   1542.48
   5612.00   1554.17
EOT
