SOUND SPEED TABLE
M         M/S
      0.00   1533.51
     10.00   1533.68
     20.00   1533.84
     30.00   1534.01
     50.00   1534.28
     75.00   1534.20
    100.00   1532.93
    125.00   1529.76
    150.00   1524.46
    200.00   1511.13
    250.00   1501.31
    300.00   1497.01
    400.00   1491.13
    500.00   1487.80
    600.00   1486.22
    700.00   1485.59
    800.00   1485.23
    900.00   1484.81
   1000.00   1484.52
   1100.00   1484.42
   1200.00   1484.69
   1300.00   1485.26
   1400.00   1486.08
   1500.00   1487.03
   1750.00   1489.54
   2000.00   1492.40
   2500.00   1499.49
   3000.00   1507.51
   4000.00   1524.41
   5000.00   1542.50
   5632.00   1554.60
EOT
